NaCl,PSL
87.0901952,99.418
92.8995568,99.824
92.6142768,99.854
91.8938192,99.428
90.5303424,99.636
90.6959536,98.954
85.1810016,99.162
89.3982656,99.524
85.6347168,99.646
87.5145216,99.648
92.1926768,99.792
79.4314672,98.528
79.15916,98.372
79.15916,98.21
81.007968,98.8466
81.315912,99.666
88.1758224,99.598
85.2104144,99.278
82.8161056,99.3112
94.5903328,99.822
85.0910368,99.58
84.5580864,99.19
82.07992,99.518
79.8853392,99.64
85.3666336,99.17
81.6207216,99.278
90.050096,99.436
87.7892912,99.21
94.2076832,99.86
88.661392,99.548
89.2211536,99.772
91.7305248,99.542
86.0810752,99.408
86.7271104,99.494
93.145968,99.78
93.145968,99.728
81.6688944,99.426
92.520928,99.796
91.1990432,99.244
92.3439648,99.816
92.6509296,99.802
92.2360912,99.462
91.742808,99.874
78.0853136,99.106
90.7464368,99.876
92.8270544,99.792
88.7700704,99.566
85.6230992,99.6
88.3324528,99.574
93.0354832,99.864
95.1390064,99.948
93.9011728,99.846
90.0800208,99.618
94.0751936,99.908
89.9559792,99.528
94.3977504,99.86
94.349448,99.894
93.4779936,99.84
93.2052528,99.28
90.6612912,99.69
91.7907648,99.28
94.1117808,99.69
93.8086448,99.646
91.2030544,99.106
93.1575024,99.51
93.3123856,99.786
93.6504784,99.434
93.8342736,99.796
92.5187952,99.528
92.741176,99.698
92.9689824,99.808
93.9217168,99.568
94.0086096,99.764
95.0002944,99.844
91.9938512,99.432
92.7738096,99.704
90.3454384,99.546
94.0844848,99.668
92.3917712,99.412
93.2954544,99.624
93.2115648,99.61
93.6584272,99.336
93.4883232,99.568
93.32504,99.602
92.7062384,99.81
94.5351696,99.78
91.7834272,99.358
94.86692,99.158
92.3117488,99.616
88.3497632,99.908
93.4004112,99.736
92.638328,98.964
94.3646816,99.37
94.3503296,99.624
93.806752,99.374
91.35348,99.714
92.5688944,99.3
93.0628192,98.766
95.3386176,99.718
95.8390032,99
89.689352,98.976
94.0448,99.616
93.614496,99.762
93.2710368,99.814
90.7177696,99.44
89.0843104,99.388
90.6504432,99.674
85.956736,99.692
89.836976,99.558
95.0639008,99.634
92.493168,99.622
94.899432,99.546
93.233,99.758
95.5692416,99.928
92.4092032,99.53
94.4534896,99.768
93.615312,99.762
93.4620608,99.53
91.5831712,99.534
90.8814448,99.728
88.23916,99.636
94.5546112,99.84
83.1903376,99.402
78.0076128,98.274
91.4715792,99.58
94.5697936,99.744
88.5415568,99.3
89.9503808,99.576
